From	To	Species	Gene Name
ENSG00000182318	ZSCAN22	Homo sapiens	zinc finger and SCAN domain containing 22(ZSCAN22)
ENSG00000130700	GATA5	Homo sapiens	GATA binding protein 5(GATA5)
ENSG00000162992	NEUROD1	Homo sapiens	neuronal differentiation 1(NEUROD1)
ENSG00000125492	BARHL1	Homo sapiens	BarH like homeobox 1(BARHL1)
ENSG00000075891	PAX2	Homo sapiens	paired box 2(PAX2)
ENSG00000180532	ZSCAN4	Homo sapiens	zinc finger and SCAN domain containing 4(ZSCAN4)
ENSG00000122482	ZNF644	Homo sapiens	zinc finger protein 644(ZNF644)
ENSG00000197385	ZNF860	Homo sapiens	zinc finger protein 860(ZNF860)
ENSG00000146592	CREB5	Homo sapiens	cAMP responsive element binding protein 5(CREB5)
ENSG00000221994	ZNF630	Homo sapiens	zinc finger protein 630(ZNF630)
ENSG00000204604	ZNF468	Homo sapiens	zinc finger protein 468(ZNF468)
ENSG00000163064	EN1	Homo sapiens	engrailed homeobox 1(EN1)
ENSG00000117010	ZNF684	Homo sapiens	zinc finger protein 684(ZNF684)
ENSG00000135100	HNF1A	Homo sapiens	HNF1 homeobox A(HNF1A)
ENSG00000142611	PRDM16	Homo sapiens	PR/SET domain 16(PRDM16)
ENSG00000069011	PITX1	Homo sapiens	paired like homeodomain 1(PITX1)
ENSG00000173917	HOXB2	Homo sapiens	homeobox B2(HOXB2)
ENSG00000172292	CERS6	Homo sapiens	ceramide synthase 6(CERS6)
ENSG00000130711	PRDM12	Homo sapiens	PR/SET domain 12(PRDM12)
ENSG00000149948	hmga2	Homo sapiens	high mobility group AT-hook 2(HMGA2)
ENSG00000189190	ZNF600	Homo sapiens	zinc finger protein 600(ZNF600)
ENSG00000129152	MYOD1	Homo sapiens	myogenic differentiation 1(MYOD1)
ENSG00000173153	ESRRA	Homo sapiens	estrogen related receptor alpha(ESRRA)
ENSG00000197372	ZNF675	Homo sapiens	zinc finger protein 675(ZNF675)
ENSG00000214717	ZBED1	Homo sapiens	zinc finger BED-type containing 1(ZBED1)
ENSG00000184302	SIX6	Homo sapiens	SIX homeobox 6(SIX6)
ENSG00000204612	FOXB2	Homo sapiens	forkhead box B2(FOXB2)
ENSG00000177426	TGIF1	Homo sapiens	TGFB induced factor homeobox 1(TGIF1)
ENSG00000204611	ZNF616	Homo sapiens	zinc finger protein 616(ZNF616)
ENSG00000103199	ZNF500	Homo sapiens	zinc finger protein 500(ZNF500)
ENSG00000181690	PLAG1	Homo sapiens	PLAG1 zinc finger(PLAG1)
ENSG00000234284	ZNF879	Homo sapiens	zinc finger protein 879(ZNF879)
ENSG00000135111	TBX3	Homo sapiens	T-box 3(TBX3)
ENSG00000158773	USF1	Homo sapiens	upstream transcription factor 1(USF1)
ENSG00000170166	HOXD4	Homo sapiens	homeobox D4(HOXD4)
ENSG00000249709	ZNF564	Homo sapiens	zinc finger protein 564(ZNF564)
ENSG00000181135	LOC101928160	Homo sapiens	uncharacterized LOC101928160(LOC101928160)
ENSG00000198740	ZNF652	Homo sapiens	zinc finger protein 652(ZNF652)
ENSG00000175213	ZNF408	Homo sapiens	zinc finger protein 408(ZNF408)
ENSG00000025156	HSF2	Homo sapiens	heat shock transcription factor 2(HSF2)
ENSG00000171291	ZNF439	Homo sapiens	zinc finger protein 439(ZNF439)
ENSG00000197363	ZNF517	Homo sapiens	zinc finger protein 517(ZNF517)
ENSG00000197362	ZNF786	Homo sapiens	zinc finger protein 786(ZNF786)
ENSG00000189180	ZNF33A	Homo sapiens	zinc finger protein 33A(ZNF33A)
ENSG00000171295	ZNF440	Homo sapiens	zinc finger protein 440(ZNF440)
ENSG00000197360	ZNF98	Homo sapiens	zinc finger protein 98(ZNF98)
ENSG00000143614	GATAD2B	Homo sapiens	GATA zinc finger domain containing 2B(GATAD2B)
ENSG00000146587	RBAK	Homo sapiens	RB associated KRAB zinc finger(RBAK)
ENSG00000174428	gtf2ird2b	Homo sapiens	GTF2I repeat domain containing 2B(GTF2IRD2B)
ENSG00000106571	GLI3	Homo sapiens	GLI family zinc finger 3(GLI3)
ENSG00000162086	ZNF75A	Homo sapiens	zinc finger protein 75a(ZNF75A)
ENSG00000171056	SOX7	Homo sapiens	SRY-box 7(SOX7)
ENSG00000173041	ZNF680	Homo sapiens	zinc finger protein 680(ZNF680)
ENSG00000168826	zbtb49	Homo sapiens	zinc finger and BTB domain containing 49(ZBTB49)
ENSG00000161914	ZNF653	Homo sapiens	zinc finger protein 653(ZNF653)
ENSG00000153779	TGIF2LX	Homo sapiens	TGFB induced factor homeobox 2 like, X-linked(TGIF2LX)
ENSG00000108509	CAMTA2	Homo sapiens	calmodulin binding transcription activator 2(CAMTA2)
ENSG00000149054	ZNF215	Homo sapiens	zinc finger protein 215(ZNF215)
ENSG00000120068	HOXB8	Homo sapiens	homeobox B8(HOXB8)
ENSG00000175395	ZNF25	Homo sapiens	zinc finger protein 25(ZNF25)
ENSG00000189164	ZNF527	Homo sapiens	zinc finger protein 527(ZNF527)
ENSG00000149050	ZNF214	Homo sapiens	zinc finger protein 214(ZNF214)
ENSG00000111704	NANOG	Homo sapiens	Nanog homeobox(NANOG)
ENSG00000171817	ZNF540	Homo sapiens	zinc finger protein 540(ZNF540)
ENSG00000160062	ZBTB8A	Homo sapiens	zinc finger and BTB domain containing 8A(ZBTB8A)
ENSG00000188295	ZNF669	Homo sapiens	zinc finger protein 669(ZNF669)
ENSG00000165462	PHOX2A	Homo sapiens	paired like homeobox 2a(PHOX2A)
ENSG00000168813	ZNF507	Homo sapiens	zinc finger protein 507(ZNF507)
ENSG00000043355	ZIC2	Homo sapiens	Zic family member 2(ZIC2)
ENSG00000134046	MBD2	Homo sapiens	methyl-CpG binding domain protein 2(MBD2)
ENSG00000126456	IRF3	Homo sapiens	interferon regulatory factor 3(IRF3)
ENSG00000197472	ZNF695	Homo sapiens	zinc finger protein 695(ZNF695)
ENSG00000115112	TFCP2L1	Homo sapiens	transcription factor CP2 like 1(TFCP2L1)
ENSG00000113658	SMAD5	Homo sapiens	SMAD family member 5(SMAD5)
ENSG00000167562	ZNF701	Homo sapiens	zinc finger protein 701(ZNF701)
ENSG00000019549	SNAI2	Homo sapiens	snail family transcriptional repressor 2(SNAI2)
ENSG00000115507	OTX1	Homo sapiens	orthodenticle homeobox 1(OTX1)
ENSG00000142599	RERE	Homo sapiens	arginine-glutamic acid dipeptide repeats(RERE)
ENSG00000123268	ATF1	Homo sapiens	activating transcription factor 1(ATF1)
ENSG00000188290	HES4	Homo sapiens	hes family bHLH transcription factor 4(HES4)
ENSG00000175387	SMAD2	Homo sapiens	SMAD family member 2(SMAD2)
ENSG00000159882	ZNF230	Homo sapiens	zinc finger protein 230(ZNF230)
ENSG00000171827	ZNF570	Homo sapiens	zinc finger protein 570(ZNF570)
ENSG00000159885	ZNF222	Homo sapiens	zinc finger protein 222(ZNF222)
ENSG00000165495	PKNOX2	Homo sapiens	PBX/knotted 1 homeobox 2(PKNOX2)
ENSG00000048405	ZNF800	Homo sapiens	zinc finger protein 800(ZNF800)
ENSG00000084093	REST	Homo sapiens	RE1 silencing transcription factor(REST)
ENSG00000173976	RAX2	Homo sapiens	retina and anterior neural fold homeobox 2(RAX2)
ENSG00000168152	THAP9	Homo sapiens	THAP domain containing 9(THAP9)
ENSG00000052850	ALX4	Homo sapiens	ALX homeobox 4(ALX4)
ENSG00000010030	etv7	Homo sapiens	ETS variant 7(ETV7)
ENSG00000107807	TLX1	Homo sapiens	T-cell leukemia homeobox 1(TLX1)
ENSG00000173068	BNC2	Homo sapiens	basonuclin 2(BNC2)
ENSG00000153048	CARHSP1	Homo sapiens	calcium regulated heat stable protein 1(CARHSP1)
ENSG00000164600	NEUROD6	Homo sapiens	neuronal differentiation 6(NEUROD6)
ENSG00000105392	CRX	Homo sapiens	cone-rod homeobox(CRX)
ENSG00000197647	ZNF433	Homo sapiens	zinc finger protein 433(ZNF433)
ENSG00000187187	ZNF546	Homo sapiens	zinc finger protein 546(ZNF546)
ENSG00000176256	HMGB4	Homo sapiens	high mobility group box 4(HMGB4)
ENSG00000189144	ZNF573	Homo sapiens	zinc finger protein 573(ZNF573)
ENSG00000124920	MYRF	Homo sapiens	myelin regulatory factor(MYRF)
ENSG00000134438	RAX	Homo sapiens	retina and anterior neural fold homeobox(RAX)
ENSG00000137203	TFAP2A	Homo sapiens	transcription factor AP-2 alpha(TFAP2A)
ENSG00000177508	IRX3	Homo sapiens	iroquois homeobox 3(IRX3)
ENSG00000108511	HOXB6	Homo sapiens	homeobox B6(HOXB6)
ENSG00000171649	ZIK1	Homo sapiens	zinc finger protein interacting with K protein 1(ZIK1)
ENSG00000120837	NFYB	Homo sapiens	nuclear transcription factor Y subunit beta(NFYB)
ENSG00000008083	JARID2	Homo sapiens	jumonji and AT-rich interaction domain containing 2(JARID2)
ENSG00000072310	SREBF1	Homo sapiens	sterol regulatory element binding transcription factor 1(SREBF1)
ENSG00000146757	ZNF92	Homo sapiens	zinc finger protein 92(ZNF92)
ENSG00000187559	FOXD4L3	Homo sapiens	forkhead box D4-like 3(FOXD4L3)
ENSG00000162702	ZNF281	Homo sapiens	zinc finger protein 281(ZNF281)
ENSG00000120075	HOXB5	Homo sapiens	homeobox B5(HOXB5)
ENSG00000178386	ZNF223	Homo sapiens	zinc finger protein 223(ZNF223)
ENSG00000107249	GLIS3	Homo sapiens	GLIS family zinc finger 3(GLIS3)
ENSG00000188033	ZNF490	Homo sapiens	zinc finger protein 490(ZNF490)
ENSG00000020633	RUNX3	Homo sapiens	runt related transcription factor 3(RUNX3)
ENSG00000126012	KDM5C	Homo sapiens	lysine demethylase 5C(KDM5C)
ENSG00000181472	ZBTB2	Homo sapiens	zinc finger and BTB domain containing 2(ZBTB2)
ENSG00000105672	ETV2	Homo sapiens	ETS variant 2(ETV2)
ENSG00000102554	KLF5	Homo sapiens	Kruppel like factor 5(KLF5)
ENSG00000178150	ZNF114	Homo sapiens	zinc finger protein 114(ZNF114)
ENSG00000101190	TCFL5	Homo sapiens	transcription factor like 5(TCFL5)
ENSG00000189120	SP6	Homo sapiens	Sp6 transcription factor(SP6)
ENSG00000123411	IKZF4	Homo sapiens	IKAROS family zinc finger 4(IKZF4)
ENSG00000106536	pou6f2	Homo sapiens	POU class 6 homeobox 2(POU6F2)
ENSG00000108788	MLX	Homo sapiens	MLX, MAX dimerization protein(MLX)
ENSG00000188785	ZNF548	Homo sapiens	zinc finger protein 548(ZNF548)
ENSG00000188786	MTF1	Homo sapiens	metal regulatory transcription factor 1(MTF1)
ENSG00000173757	STAT5B	Homo sapiens	signal transducer and activator of transcription 5B(STAT5B)
ENSG00000005102	MEOX1	Homo sapiens	mesenchyme homeobox 1(MEOX1)
ENSG00000096654	ZNF184	Homo sapiens	zinc finger protein 184(ZNF184)
ENSG00000125816	NKX2-4	Homo sapiens	NK2 homeobox 4(NKX2-4)
ENSG00000125812	GZF1	Homo sapiens	GDNF inducible zinc finger protein 1(GZF1)
ENSG00000161551	ZNF577	Homo sapiens	zinc finger protein 577(ZNF577)
ENSG00000125813	PAX1	Homo sapiens	paired box 1(PAX1)
ENSG00000134852	CLOCK	Homo sapiens	clock circadian regulator(CLOCK)
ENSG00000168661	ZNF30	Homo sapiens	zinc finger protein 30(ZNF30)
ENSG00000171872	KLF17	Homo sapiens	Kruppel like factor 17(KLF17)
ENSG00000143190	POU2F1	Homo sapiens	POU class 2 homeobox 1(POU2F1)
ENSG00000176009	ASCL3	Homo sapiens	achaete-scute family bHLH transcription factor 3(ASCL3)
ENSG00000142409	ZNF787	Homo sapiens	zinc finger protein 787(ZNF787)
ENSG00000131127	ZNF141	Homo sapiens	zinc finger protein 141(ZNF141)
ENSG00000123685	BATF3	Homo sapiens	basic leucine zipper ATF-like transcription factor 3(BATF3)
ENSG00000245680	ZNF585B	Homo sapiens	zinc finger protein 585B(ZNF585B)
ENSG00000187772	LIN28B	Homo sapiens	lin-28 homolog B(LIN28B)
ENSG00000172493	AFF1	Homo sapiens	AF4/FMR2 family member 1(AFF1)
ENSG00000155090	KLF10	Homo sapiens	Kruppel like factor 10(KLF10)
ENSG00000237452	BHMG1	Homo sapiens	basic helix-loop-helix and HMG-box containing 1(BHMG1)
ENSG00000106546	AHR	Homo sapiens	aryl hydrocarbon receptor(AHR)
ENSG00000116809	ZBTB17	Homo sapiens	zinc finger and BTB domain containing 17(ZBTB17)
ENSG00000012817	KDM5D	Homo sapiens	lysine demethylase 5D(KDM5D)
ENSG00000143390	RFX5	Homo sapiens	regulatory factor X5(RFX5)
ENSG00000142556	ZNF614	Homo sapiens	zinc finger protein 614(ZNF614)
ENSG00000123405	NFE2	Homo sapiens	nuclear factor, erythroid 2(NFE2)
ENSG00000164900	GBX1	Homo sapiens	gastrulation brain homeobox 1(GBX1)
ENSG00000123407	HOXC12	Homo sapiens	homeobox C12(HOXC12)
ENSG00000116017	ARID3A	Homo sapiens	AT-rich interaction domain 3A(ARID3A)
ENSG00000119950	MXI1	Homo sapiens	MAX interactor 1, dimerization protein(MXI1)
ENSG00000184517	ZFP1	Homo sapiens	ZFP1 zinc finger protein(ZFP1)
ENSG00000143365	rorc	Homo sapiens	RAR related orphan receptor C(RORC)
ENSG00000131115	ZNF227	Homo sapiens	zinc finger protein 227(ZNF227)
ENSG00000105698	USF2	Homo sapiens	upstream transcription factor 2, c-fos interacting(USF2)
ENSG00000175727	MLXIP	Homo sapiens	MLX interacting protein(MLXIP)
ENSG00000143578	CREB3L4	Homo sapiens	cAMP responsive element binding protein 3 like 4(CREB3L4)
ENSG00000198298	ZNF485	Homo sapiens	zinc finger protein 485(ZNF485)
ENSG00000188283	ZNF383	Homo sapiens	zinc finger protein 383(ZNF383)
ENSG00000006047	YBX2	Homo sapiens	Y-box binding protein 2(YBX2)
ENSG00000161940	BCL6B	Homo sapiens	B-cell CLL/lymphoma 6B(BCL6B)
ENSG00000116819	TFAP2E	Homo sapiens	transcription factor AP-2 epsilon(TFAP2E)
ENSG00000106511	MEOX2	Homo sapiens	mesenchyme homeobox 2(MEOX2)
ENSG00000162924	REL	Homo sapiens	REL proto-oncogene, NF-kB subunit(REL)
ENSG00000041988	THAP3	Homo sapiens	THAP domain containing 3(THAP3)
ENSG00000178338	ZNF354B	Homo sapiens	zinc finger protein 354B(ZNF354B)
ENSG00000186660	ZFP91	Homo sapiens	ZFP91 zinc finger protein(ZFP91)
ENSG00000165259	HDX	Homo sapiens	highly divergent homeobox(HDX)
ENSG00000168874	ATOH8	Homo sapiens	atonal bHLH transcription factor 8(ATOH8)
ENSG00000057935	mta3	Homo sapiens	metastasis associated 1 family member 3(MTA3)
ENSG00000168875	SOX14	Homo sapiens	SRY-box 14(SOX14)
ENSG00000143379	SETDB1	Homo sapiens	SET domain bifurcated 1(SETDB1)
ENSG00000164916	FOXK1	Homo sapiens	forkhead box K1(FOXK1)
ENSG00000176024	ZNF613	Homo sapiens	zinc finger protein 613(ZNF613)
ENSG00000143171	RXRG	Homo sapiens	retinoid X receptor gamma(RXRG)
ENSG00000171606	ZNF274	Homo sapiens	zinc finger protein 274(ZNF274)
ENSG00000005513	SOX8	Homo sapiens	SRY-box 8(SOX8)
ENSG00000152475	ZNF837	Homo sapiens	zinc finger protein 837(ZNF837)
ENSG00000188070	c11orf95	Homo sapiens	chromosome 11 open reading frame 95(C11orf95)
ENSG00000143373	ZNF687	Homo sapiens	zinc finger protein 687(ZNF687)
ENSG00000187792	ZNF70	Homo sapiens	zinc finger protein 70(ZNF70)
ENSG00000172888	ZNF621	Homo sapiens	zinc finger protein 621(ZNF621)
ENSG00000165244	ZNF367	Homo sapiens	zinc finger protein 367(ZNF367)
ENSG00000115568	ZNF142	Homo sapiens	zinc finger protein 142(ZNF142)
ENSG00000143178	TBX19	Homo sapiens	T-box 19(TBX19)
ENSG00000196700	ZNF512B	Homo sapiens	zinc finger protein 512B(ZNF512B)
ENSG00000095794	CREM	Homo sapiens	cAMP responsive element modulator(CREM)
ENSG00000126003	PLAGL2	Homo sapiens	PLAG1 like zinc finger 2(PLAGL2)
ENSG00000077150	NFKB2	Homo sapiens	nuclear factor kappa B subunit 2(NFKB2)
ENSG00000176222	ZNF404	Homo sapiens	zinc finger protein 404(ZNF404)
ENSG00000164920	osr2	Homo sapiens	odd-skipped related transciption factor 2(OSR2)
ENSG00000185869	ZNF829	Homo sapiens	zinc finger protein 829(ZNF829)
ENSG00000196922	ZNF252P	Homo sapiens	zinc finger protein 252, pseudogene(ZNF252P)
ENSG00000111783	RFX4	Homo sapiens	regulatory factor X4(RFX4)
ENSG00000196132	MYT1	Homo sapiens	myelin transcription factor 1(MYT1)
ENSG00000069667	RORA	Homo sapiens	RAR related orphan receptor A(RORA)
ENSG00000053254	FOXN3	Homo sapiens	forkhead box N3(FOXN3)
ENSG00000119725	ZNF410	Homo sapiens	zinc finger protein 410(ZNF410)
ENSG00000112837	TBX18	Homo sapiens	T-box 18(TBX18)
ENSG00000133937	GSC	Homo sapiens	goosecoid homeobox(GSC)
ENSG00000124191	TOX2	Homo sapiens	TOX high mobility group box family member 2(TOX2)
ENSG00000124782	RREB1	Homo sapiens	ras responsive element binding protein 1(RREB1)
ENSG00000168610	STAT3	Homo sapiens	signal transducer and activator of transcription 3(STAT3)
ENSG00000175197	DDIT3	Homo sapiens	DNA damage inducible transcript 3(DDIT3)
ENSG00000117318	ID3	Homo sapiens	inhibitor of DNA binding 3, HLH protein(ID3)
ENSG00000172466	ZNF24	Homo sapiens	zinc finger protein 24(ZNF24)
ENSG00000170689	HOXB9	Homo sapiens	homeobox B9(HOXB9)
ENSG00000167771	rcor2	Homo sapiens	REST corepressor 2(RCOR2)
ENSG00000166526	ZNF3	Homo sapiens	zinc finger protein 3(ZNF3)
ENSG00000118689	FOXO3	Homo sapiens	forkhead box O3(FOXO3)
ENSG00000117595	IRF6	Homo sapiens	interferon regulatory factor 6(IRF6)
ENSG00000188227	ZNF793	Homo sapiens	zinc finger protein 793(ZNF793)
ENSG00000166529	ZSCAN21	Homo sapiens	zinc finger and SCAN domain containing 21(ZSCAN21)
ENSG00000213015	ZNF580	Homo sapiens	zinc finger protein 580(ZNF580)
ENSG00000125846	ZNF133	Homo sapiens	zinc finger protein 133(ZNF133)
ENSG00000172468	HSFY1	Homo sapiens	heat shock transcription factor, Y-linked 1(HSFY1)
ENSG00000213020	ZNF611	Homo sapiens	zinc finger protein 611(ZNF611)
ENSG00000204304	PBX2	Homo sapiens	PBX homeobox 2(PBX2)
ENSG00000073614	KDM5A	Homo sapiens	lysine demethylase 5A(KDM5A)
ENSG00000164651	SP8	Homo sapiens	Sp8 transcription factor(SP8)
ENSG00000175745	NR2F1	Homo sapiens	nuclear receptor subfamily 2 group F member 1(NR2F1)
ENSG00000105821	DNAJC2	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C2(DNAJC2)
ENSG00000185177	ZNF479	Homo sapiens	zinc finger protein 479(ZNF479)
ENSG00000167377	ZNF23	Homo sapiens	zinc finger protein 23(ZNF23)
ENSG00000179059	ZFP42	Homo sapiens	ZFP42 zinc finger protein(ZFP42)
ENSG00000144485	HES6	Homo sapiens	hes family bHLH transcription factor 6(HES6)
ENSG00000198482	ZNF808	Homo sapiens	zinc finger protein 808(ZNF808)
ENSG00000167766	ZNF83	Homo sapiens	zinc finger protein 83(ZNF83)
ENSG00000096401	CDC5L	Homo sapiens	cell division cycle 5 like(CDC5L)
ENSG00000143355	LHX9	Homo sapiens	LIM homeobox 9(LHX9)
ENSG00000125850	OVOL2	Homo sapiens	ovo like zinc finger 2(OVOL2)
ENSG00000119138	KLF9	Homo sapiens	Kruppel like factor 9(KLF9)
ENSG00000139800	ZIC5	Homo sapiens	Zic family member 5(ZIC5)
ENSG00000204103	MAFB	Homo sapiens	MAF bZIP transcription factor B(MAFB)
ENSG00000196345	ZKSCAN7	Homo sapiens	zinc finger with KRAB and SCAN domains 7(ZKSCAN7)
ENSG00000138738	PRDM5	Homo sapiens	PR/SET domain 5(PRDM5)
ENSG00000109851	DBX1	Homo sapiens	developing brain homeobox 1(DBX1)
ENSG00000087903	RFX2	Homo sapiens	regulatory factor X2(RFX2)
ENSG00000164683	HEY1	Homo sapiens	hes related family bHLH transcription factor with YRPW motif 1(HEY1)
ENSG00000119919	NKX2-3	Homo sapiens	NK2 homeobox 3(NKX2-3)
ENSG00000196110	ZNF699	Homo sapiens	zinc finger protein 699(ZNF699)
ENSG00000167384	ZNF180	Homo sapiens	zinc finger protein 180(ZNF180)
ENSG00000105856	HBP1	Homo sapiens	HMG-box transcription factor 1(HBP1)
ENSG00000119508	NR4A3	Homo sapiens	nuclear receptor subfamily 4 group A member 3(NR4A3)
ENSG00000198455	ZXDB	Homo sapiens	zinc finger, X-linked, duplicated B(ZXDB)
ENSG00000177045	SIX5	Homo sapiens	SIX homeobox 5(SIX5)
ENSG00000082641	NFE2L1	Homo sapiens	nuclear factor, erythroid 2 like 1(NFE2L1)
ENSG00000198453	ZNF568	Homo sapiens	zinc finger protein 568(ZNF568)
ENSG00000167380	ZNF226	Homo sapiens	zinc finger protein 226(ZNF226)
ENSG00000130544	ZNF557	Homo sapiens	zinc finger protein 557(ZNF557)
ENSG00000125820	NKX2-2	Homo sapiens	NK2 homeobox 2(NKX2-2)
ENSG00000165684	SNAPC4	Homo sapiens	small nuclear RNA activating complex polypeptide 4(SNAPC4)
ENSG00000112041	TULP1	Homo sapiens	tubby like protein 1(TULP1)
ENSG00000128272	ATF4	Homo sapiens	activating transcription factor 4(ATF4)
ENSG00000112246	SIM1	Homo sapiens	single-minded family bHLH transcription factor 1(SIM1)
ENSG00000112242	E2F3	Homo sapiens	E2F transcription factor 3(E2F3)
ENSG00000203326	ZNF525	Homo sapiens	zinc finger protein 525(ZNF525)
ENSG00000144852	NR1I2	Homo sapiens	nuclear receptor subfamily 1 group I member 2(NR1I2)
ENSG00000090447	TFAP4	Homo sapiens	transcription factor AP-4(TFAP4)
ENSG00000112033	PPARD	Homo sapiens	peroxisome proliferator activated receptor delta(PPARD)
ENSG00000185155	MIXL1	Homo sapiens	Mix paired-like homeobox(MIXL1)
ENSG00000220201	Zglp1	Homo sapiens	zinc finger, GATA-like protein 1(ZGLP1)
ENSG00000119715	ESRRB	Homo sapiens	estrogen related receptor beta(ESRRB)
ENSG00000067646	ZFY	Homo sapiens	zinc finger protein, Y-linked(ZFY)
ENSG00000167395	ZNF646	Homo sapiens	zinc finger protein 646(ZNF646)
ENSG00000137492	THAP12	Homo sapiens	THAP domain containing 12(THAP12)
ENSG00000198464	ZNF480	Homo sapiens	zinc finger protein 480(ZNF480)
ENSG00000170325	PRDM10	Homo sapiens	PR/SET domain 10(PRDM10)
ENSG00000186814	ZSCAN30	Homo sapiens	zinc finger and SCAN domain containing 30(ZSCAN30)
ENSG00000167394	ZNF668	Homo sapiens	zinc finger protein 668(ZNF668)
ENSG00000198466	ZNF587	Homo sapiens	zinc finger protein 587(ZNF587)
ENSG00000186812	ZNF397	Homo sapiens	zinc finger protein 397(ZNF397)
ENSG00000101493	znf516	Homo sapiens	zinc finger protein 516(ZNF516)
ENSG00000140009	ESR2	Homo sapiens	estrogen receptor 2(ESR2)
ENSG00000112238	PRDM13	Homo sapiens	PR/SET domain 13(PRDM13)
ENSG00000159216	LOC100506403	Homo sapiens	uncharacterized LOC100506403(LOC100506403)
ENSG00000167785	ZNF558	Homo sapiens	zinc finger protein 558(ZNF558)
ENSG00000196323	ZBTB44	Homo sapiens	zinc finger and BTB domain containing 44(ZBTB44)
ENSG00000100105	PATZ1	Homo sapiens	POZ/BTB and AT hook containing zinc finger 1(PATZ1)
ENSG00000138795	LEF1	Homo sapiens	lymphoid enhancer binding factor 1(LEF1)
ENSG00000091831	ESR1	Homo sapiens	estrogen receptor 1(ESR1)
ENSG00000140968	IRF8	Homo sapiens	interferon regulatory factor 8(IRF8)
ENSG00000081189	MEF2C	Homo sapiens	myocyte enhancer factor 2C(MEF2C)
ENSG00000203989	RHOXF2B	Homo sapiens	Rhox homeobox family member 2B(RHOXF2B)
ENSG00000121864	ZNF639	Homo sapiens	zinc finger protein 639(ZNF639)
ENSG00000090661	CERS4	Homo sapiens	ceramide synthase 4(CERS4)
ENSG00000089116	LHX5	Homo sapiens	LIM homeobox 5(LHX5)
ENSG00000183850	ZNF730	Homo sapiens	zinc finger protein 730(ZNF730)
ENSG00000177732	SOX12	Homo sapiens	SRY-box 12(SOX12)
ENSG00000126746	ZNF384	Homo sapiens	zinc finger protein 384(ZNF384)
ENSG00000174652	ZNF266	Homo sapiens	zinc finger protein 266(ZNF266)
ENSG00000177932	ZNF354C	Homo sapiens	zinc finger protein 354C(ZNF354C)
ENSG00000196378	ZNF34	Homo sapiens	zinc finger protein 34(ZNF34)
ENSG00000197619	ZNF615	Homo sapiens	zinc finger protein 615(ZNF615)
ENSG00000078399	hoxa9	Homo sapiens	homeobox A9(HOXA9)
ENSG00000215397	SCRT2	Homo sapiens	scratch family transcriptional repressor 2(SCRT2)
ENSG00000130522	jund	Homo sapiens	JunD proto-oncogene, AP-1 transcription factor subunit(JUND)
ENSG00000137265	IRF4	Homo sapiens	interferon regulatory factor 4(IRF4)
ENSG00000101115	SALL4	Homo sapiens	spalt like transcription factor 4(SALL4)
ENSG00000063438	AHRR	Homo sapiens	aryl-hydrocarbon receptor repressor(AHRR)
ENSG00000099326	MZF1	Homo sapiens	myeloid zinc finger 1(MZF1)
ENSG00000105866	SP4	Homo sapiens	Sp4 transcription factor(SP4)
ENSG00000177030	DEAF1	Homo sapiens	DEAF1, transcription factor(DEAF1)
ENSG00000167528	ZNF641	Homo sapiens	zinc finger protein 641(ZNF641)
ENSG00000175787	ZNF169	Homo sapiens	zinc finger protein 169(ZNF169)
ENSG00000183072	NKX2-5	Homo sapiens	NK2 homeobox 5(NKX2-5)
ENSG00000176472	ZNF575	Homo sapiens	zinc finger protein 575(ZNF575)
ENSG00000196109	ZNF676	Homo sapiens	zinc finger protein 676(ZNF676)
ENSG00000186446	ZNF501	Homo sapiens	zinc finger protein 501(ZNF501)
ENSG00000125618	PAX8	Homo sapiens	paired box 8(PAX8)
ENSG00000160224	aire	Homo sapiens	autoimmune regulator(AIRE)
ENSG00000176083	ZNF683	Homo sapiens	zinc finger protein 683(ZNF683)
ENSG00000066336	SPI1	Homo sapiens	Spi-1 proto-oncogene(SPI1)
ENSG00000073861	TBX21	Homo sapiens	T-box 21(TBX21)
ENSG00000186448	ZNF197	Homo sapiens	zinc finger protein 197(ZNF197)
ENSG00000139083	ETV6	Homo sapiens	ETS variant 6(ETV6)
ENSG00000140987	ZSCAN32	Homo sapiens	zinc finger and SCAN domain containing 32(ZSCAN32)
ENSG00000127152	BCL11B	Homo sapiens	B-cell CLL/lymphoma 11B(BCL11B)
ENSG00000176678	FOXL1	Homo sapiens	forkhead box L1(FOXL1)
ENSG00000176679	TGIF2LY	Homo sapiens	TGFB induced factor homeobox 2 like, Y-linked(TGIF2LY)
ENSG00000106331	PAX4	Homo sapiens	paired box 4(PAX4)
ENSG00000196387	ZNF140	Homo sapiens	zinc finger protein 140(ZNF140)
ENSG00000137270	GCM1	Homo sapiens	glial cells missing homolog 1(GCM1)
ENSG00000196381	ZNF781	Homo sapiens	zinc finger protein 781(ZNF781)
ENSG00000137273	FOXF2	Homo sapiens	forkhead box F2(FOXF2)
ENSG00000111145	ELK3	Homo sapiens	ELK3, ETS transcription factor(ELK3)
ENSG00000007372	PAX6	Homo sapiens	paired box 6(PAX6)
ENSG00000123095	BHLHE41	Homo sapiens	basic helix-loop-helix family member e41(BHLHE41)
ENSG00000167555	ZNF528	Homo sapiens	zinc finger protein 528(ZNF528)
